country_id,variant_id,content_entry_id,variant_type,is_primary_study_variant,official_status,graphic_elements,decision,decision_reason,source_ids,primary_source_urls,review_status,checked_at,notes
belgium,belgium-national-flag,belgium-national-flag,national,true,official,,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,be-government-flags,https://www.belgium.be/en/about_belgium/country/belgium_in_nutshell/symbols/flags,reviewed,2026-09-24,
belgium,belgium-state-ensign-candidate,,state_ensign,false,unconfirmed,lion|crown,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,,,sources_checked,2026-09-24,Федеральная страница описывает лишь обычный флаг; найденные упоминания морского варианта не подтверждены первичным источником. Проверить официальный морской акт перед решением eligible/excluded.
bhutan,bhutan-national-flag,bhutan-national-flag,national,true,official,dragon|jewel,eligible,На национальном флаге изображён белый дракон поверх жёлтого и оранжевого полей; Конституция объясняет его значение.,bt-constitution-first-schedule,https://www.rcsc.gov.bt/wp-content/uploads/2021/02/Constitution-of-Bhutan-Eng-2008.pdf,reviewed,2026-09-23,
bolivia,bolivia-national-tricolor,,national,false,official,,excluded,Выбран более подробный государственный вариант того же триколора с гербом по статье 9 декрета 241.,bo-constitution-art-6|bo-decree-241-parliament-copy,https://www.senapi.gob.bo/normativas/constitucion-politica-del-estado/constitucion-politica-del-estado-plurinacional-de-bolivia|https://diputados.gob.bo/wp-content/uploads/2023/02/PL-137-2022-2023.pdf,sources_checked,2026-09-24,
bolivia,bolivia-wiphala,,other_official,false,official,multicolor_grid,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,bo-constitution-art-6|bo-decree-241-parliament-copy,https://www.senapi.gob.bo/normativas/constitucion-politica-del-estado/constitucion-politica-del-estado-plurinacional-de-bolivia|https://diputados.gob.bo/wp-content/uploads/2023/02/PL-137-2022-2023.pdf,sources_checked,2026-09-24,
bosnia-and-herzegovina,bosnia-and-herzegovina-national-flag,bosnia-and-herzegovina-national-flag,national,true,official,stars,eligible,Закон о флаге определяет ряд белых пятиконечных звёзд вдоль жёлтого треугольника на синем фоне.,ba-flag-law-parliament,https://www.parlament.ba/law/DownloadDocument?langTag=bs&lawDocumentId=39682910-7bc4-4b7e-a326-5d6c59109acd,reviewed,2026-09-23,
botswana,botswana-national-flag,botswana-national-flag,national,true,official,plain_horizontal_bands,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,bw-national-symbols-bopa,https://dailynews.gov.bw/news-detail/31255,reviewed,2026-09-24,
botswana,botswana-presidential-standard,,other_official,false,official,coat_of_arms,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,bw-national-symbols-bopa,https://dailynews.gov.bw/news-detail/31255,reviewed,2026-09-24,
brazil,brazil-presidential-standard,,other_official,false,official,unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,br-ceremonial-decree-70274,https://www.presidencia.gov.br/ccivil_03/decreto/d70274.htm,sources_checked,2026-09-24,Проверить современный официальный образец и права на конкретный SVG.
brazil,brazil-vice-presidential-standard,,other_official,false,official,unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,br-ceremonial-decree-70274,https://www.presidencia.gov.br/ccivil_03/decreto/d70274.htm,sources_checked,2026-09-24,
belize,belize-national-flag,,national,true,official,coat_of_arms|people|ship|tree|tools|inscription,eligible,Приложение I к закону 2025 года устанавливает синий флаг с красными полосами и гербом в белом круге; присутствуют многочисленные отдельные графические символы.,bz-national-symbols-act-2025|bz-merchant-ships-2010,https://www.agm.gov.bz/uploads/laws/67fe7b9cbe9a7_Act_No._09_of_2025_National_Symbols_Act__2025.pdf|https://ifsc.gov.bz/wp-content/uploads/2019/10/Merchant-Ships-Registration-Act-2010-No.-22-of-2010.pdf,sources_checked,2026-09-23,Публикация карточки ожидает выяснения прав на дизайн по статье 11 закона.
solomon-islands,solomon-islands-national-flag,solomon-islands-national-flag,national,true,official,stars,eligible,Правительственные публикации показывают пять белых звёзд на синем поле национального флага; закон о судоходстве подтверждает его национальный статус.,sb-shipping-act-sima|sb-policy-statement-2024,https://www.sima.gov.sb/wp-content/uploads/Shipping-Act-1998-Amended-Consolidated-Version-01-01-2021.pdf|https://solomons.gov.sb/wp-content/uploads/2024/06/Policy-Statement-TUESDAY-6PM-Final.pdf,reviewed,2026-09-23,
solomon-islands,solomon-islands-government-ensign,,state_ensign,false,official,emblem_unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,sb-general-orders-pso,https://www.pso.gov.sb/index.php/resources/employment-law/general-orders/99-18-chapter-v-miscellaneous-provision/file.html,sources_checked,2026-09-24,
solomon-islands,solomon-islands-governor-general-standard,,other_official,false,official,unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,sb-general-orders-pso,https://www.pso.gov.sb/index.php/resources/employment-law/general-orders/99-18-chapter-v-miscellaneous-provision/file.html,sources_checked,2026-09-24,
solomon-islands,solomon-islands-civil-ensign-candidate,,civil_ensign,false,unconfirmed,none_confirmed,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,sb-shipping-act-sima,https://www.sima.gov.sb/wp-content/uploads/Shipping-Act-1998-Amended-Consolidated-Version-01-01-2021.pdf,sources_checked,2026-09-24,
brunei,brunei-national-flag,brunei-national-flag,national,true,official,national_emblem|crescent|hands|umbrella|inscription,eligible,Официальное описание Генеральной прокуратуры определяет красную национальную эмблему на жёлтом флаге с белой и чёрной диагональными полосами.,bn-flag-crest-agc,https://www.agc.gov.bn/SitePages/National%20Flag%20and%20Crest.aspx,reviewed,2026-09-23,
brunei,brunei-sultan-standard,,other_official,false,official,unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,bn-constitution-state-emblems|bn-flags-jain,https://www.agc.gov.bn/AGC%20Images/LOB/cons_doc/constitution_ii.pdf|https://www.adat-istiadat.gov.bn/bendera-panji-panji/,sources_checked,2026-09-24,
brunei,brunei-merchant-ensign-candidate,,civil_ensign,false,unconfirmed,unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,bn-merchant-shipping-order-2002,https://www.agc.gov.bn/AGC%20Images/LAWS/Gazette_PDF/2002/EN/s027.pdf,sources_checked,2026-09-24,
bulgaria,bulgaria-national-flag,bulgaria-national-flag,national,true,official,horizontal_white_green_red_stripes,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,bg-constitution-justice|bg-flag-parliament,https://www.justice.government.bg/home/normdoc/521957377|https://www.parliament.bg/bg/21,reviewed,2026-09-24,
bulgaria,bulgaria-state-protocol-flag-candidate,,other_official,false,unconfirmed,coat_of_arms,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,bg-coat-decree-132-2009,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=21850,sources_checked,2026-09-24,
myanmar,myanmar-national-flag,myanmar-national-flag,national,true,official,five_pointed_star,eligible,Конституция и национальный портал описывают жёлто-зелёно-красное полотнище с большой белой пятиконечной звездой; звезда проходит графический критерий.,mm-constitution-moi|mm-national-symbols-portal|mm-flag-ceremony-moi-2026,https://www.moi.gov.mm/sites/default/files/general-pdf/2020-06/Con%20%26%20Repub%20%28Myanm%20%26%20Eng%29%20Big-1.pdf|https://myanmar.gov.mm/en/web/guest/national-symbols|https://www.moi.gov.mm/moi%3Aeng/index.php/news/20265,reviewed,2026-09-23,
burundi,burundi-national-flag,burundi-national-flag,national,true,official,three_six_pointed_stars,eligible,Конституция и президентская страница подтверждают национальный флаг с тремя красными шестиконечными звёздами на белом диске.,bi-constitution-presidency-2018|bi-flag-presidency,https://www.presidence.gov.bi/wp-content/uploads/2018/07/constitution-promulguee-le-7-juin-2018.pdf|https://presidence.gov.bi/le-drapeau/,reviewed,2026-09-23,
cambodia,cambodia-national-flag,cambodia-national-flag,national,true,official,angkor_wat_temple,eligible,Конституция и правительственный материал показывают белый храм Ангкор-Ват на красной центральной полосе.,kh-constitution-ccc|kh-flag-francophonie-2026|kh-national-symbols-nsdp,https://constitution.ccc.gov.kh/index-en.php|https://www.francophonie2026.gov.kh/en/InformationForVisitor|https://cdc-crdb.gov.kh/en/strategy/documents/nsdp-2019-2023_en.pdf,reviewed,2026-09-23,
cambodia,cambodia-royal-standard,,other_official,false,official,royal_arms_candidate,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,kh-royal-standard-circular-2018,https://library.ncdd.gov.kh/detail/9809?lang=km,sources_checked,2026-09-24,
belarus,belarus-national-flag,belarus-national-flag,national,true,official,belarusian_ornament,eligible,Правительственная страница описывает красно-зелёный флаг с отдельным вертикальным белорусским орнаментом красного цвета на белом поле.,by-symbols-vitebsk-labor,https://be.vitkomtrud.gov.by/page/gosudarstvennye-simvoly,reviewed,2026-09-23,
belarus,belarus-presidential-standard,,other_official,false,official,state_emblem_candidate,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,by-standard-cis-2025,https://e-cis.info/news/566/126067/,sources_checked,2026-09-24,
cameroon,cameroon-national-flag,cameroon-national-flag,national,true,official,gold_five_pointed_star,eligible,Конституция и официальный материал показывают золотую пятиконечную звезду на средней красной полосе.,cm-constitution-presidency|cm-flag-presidency-2022,https://www.prc.cm/files/c9/b7/ea/c0609c9d4b1c56a57d25fe5897d534a9.pdf|https://www.prc.cm/files/f6/9e/cd/9e544bcc6412dfd56317bb59a4623fb6.pdf,reviewed,2026-09-23,
cabo-verde,cabo-verde-national-flag,cabo-verde-national-flag,national,true,official,ten_yellow_stars|five_horizontal_bands,eligible,Статья 8 Конституции описывает десять жёлтых звёзд по кругу поверх пяти горизонтальных полей.,cv-constitution-parliament|cv-flag-government,https://www.parlamento.cv/constituicao/pesquisa.php|https://www.governo.cv/o-arquipelago/simbolos/bandeira/,reviewed,2026-09-23,
central-african-republic,central-african-republic-national-flag,central-african-republic-national-flag,national,true,official,yellow_five_pointed_star|red_vertical_band|four_horizontal_bands,eligible,"Статья 1 Конституции 2023 года описывает действующий флаг со звездой, четырьмя горизонтальными и одной вертикальной полосой.",cf-constitution-2023-embassy|cf-symbols-embassy,https://paris.diplomatie.gouv.cf/sites/paris/files/2023-07/Nouvelle-Constitution_RCA_Bonne-Version_2023.pdf|https://paris.diplomatie.gouv.cf/centrafrique/28/ses-symboles,reviewed,2026-09-23,
central-african-republic,central-african-republic-presidential-standard,,other_official,false,unverified,national_flag|presidential_insignia_unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,cf-constitution-2023-embassy,https://paris.diplomatie.gouv.cf/sites/paris/files/2023-07/Nouvelle-Constitution_RCA_Bonne-Version_2023.pdf,sources_checked,2026-09-24,
sri-lanka,sri-lanka-national-flag,sri-lanka-national-flag,national,true,official,lion_with_sword|four_bo_leaves,eligible,Флаг со львом и мечом и четырьмя листьями бо закреплён Конституцией и описан правительством.,lk-constitution-parliament|lk-overview-government,https://www.parliament.lk/en/constitution-main|https://www.gov.lk/index.php/sri-lanka/country-overview,reviewed,2026-09-23,
sri-lanka,sri-lanka-naval-ensign,,other_official,false,official,national_flag_in_canton|cross,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,lk-navy-history,https://navy.lk/about-us/history.html,sources_checked,2026-09-24,
sri-lanka,sri-lanka-state-ensign-candidate,,state_ensign,false,unverified,national_flag_in_canton|blue_field_unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,lk-shipping-rules,https://www.dgshipping.gov.lk/web/images/pdf/rules/annex01.pdf,sources_checked,2026-09-24,
chad,chad-national-flag,chad-national-flag,national,true,official,none_plain_vertical_stripes,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,td-state-graphic-charter,https://mesrsfp.gouv.td/wp-content/uploads/2026/04/Guide-pratique-de-redaction-administrative-et-de-de-Charte-graphique-de-lEtat-du-Tchad_230823_190003.pdf,reviewed,2026-09-24,
chad,chad-presidential-flag-candidate,,other_official,false,unverified,coat_of_arms_on_tricolor_unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,td-state-graphic-charter,https://mesrsfp.gouv.td/wp-content/uploads/2026/04/Guide-pratique-de-redaction-administrative-et-de-de-Charte-graphique-de-lEtat-du-Tchad_230823_190003.pdf,sources_checked,2026-09-24,
chile,chile-national-flag,chile-national-flag,national,true,official,white_five_pointed_star|blue_canton|white_red_bands,eligible,Статья 1 декрета описывает белую пятиконечную звезду в синем квадрате и бело-красные полосы.,cl-national-emblems-decree-1534,https://www.bcn.cl/leychile/navegar?idNorma=18035,reviewed,2026-09-23,
chile,chile-presidential-standard,,other_official,false,official,national_flag|coat_of_arms_center,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,cl-national-emblems-decree-1534,https://www.bcn.cl/leychile/navegar?idNorma=18035,reviewed,2026-09-24,
china,china-national-flag,china-national-flag,national,true,official,red_field|five_yellow_stars,eligible,Действующий закон и Конституция прямо определяют красный национальный флаг с пятью звёздами; звёзды проходят графический критерий.,cn-national-flag-law-2020|cn-constitution-symbols,https://www.npc.gov.cn/englishnpc/c2759/c23934/202103/t20210301_384806.html|https://en.moj.gov.cn/2021-06/22/c_634901.htm,reviewed,2026-09-24,
comoros,comoros-national-flag,comoros-national-flag,national,true,official,four_horizontal_stripes|green_hoist_triangle|white_crescent|four_white_stars,eligible,Статья 9 Конституции прямо описывает полумесяц и четыре звезды на зелёном треугольнике у древка.,km-constitution-2018-art9,https://natlex.ilo.org/dyn/natlex2/natlex2/files/download/72696/COM-72696%20%28CONSOLID%29.pdf,reviewed,2026-09-24,
colombia,colombia-national-flag,colombia-national-flag,national,true,official,plain_yellow_blue_red_stripes,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,co-national-symbols-law-1984|co-flags-decree-1687-1986,https://www.suin-juriscol.gov.co/viewDocument.asp?id=1568555|https://www.suin-juriscol.gov.co/viewDocument.asp?id=1331854,reviewed,2026-09-24,
colombia,colombia-civil-ensign,,civil_ensign,false,official,yellow_blue_red_stripes|blue_oval_red_border|white_eight_pointed_star,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,co-flags-decree-861-1924|co-flags-decree-1687-1986,https://www.suin-juriscol.gov.co/viewDocument.asp?id=1728068|https://www.suin-juriscol.gov.co/viewDocument.asp?id=1331854,reviewed,2026-09-24,
colombia,colombia-presidential-flag,,other_official,false,official,national_tricolor|national_coat_of_arms,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,co-symbols-decree-1967-1991,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=1524,sources_checked,2026-09-24,
colombia,colombia-war-flag,,other_official,false,official,national_tricolor|national_coat_of_arms|unit_inscription,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,co-flags-decree-861-1924|co-symbols-decree-1967-1991,https://www.suin-juriscol.gov.co/viewDocument.asp?id=1728068|https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=1524,sources_checked,2026-09-24,
colombia,colombia-naval-ensign-candidate,,state_ensign,false,unverified,national_tricolor|national_coat_of_arms_unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,co-symbols-decree-1967-1991,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=1524,sources_checked,2026-09-24,
congo,congo-national-flag,congo-national-flag,national,true,official,green_red_triangles|yellow_diagonal_band,eligible,Национальный флаг включён по новому правилу; простой рисунок не является основанием для исключения.,cg-constitution-2015-art3-4|cg-presidency-symbols,https://www.sgg.cg/fr/droit-congolais/constitution.html|https://presidence.cg/les-symboles/,reviewed,2026-09-24,
democratic-republic-of-the-congo,democratic-republic-of-the-congo-national-flag,democratic-republic-of-the-congo-national-flag,national,true,official,sky_blue_field|yellow_five_pointed_star|red_diagonal_band|yellow_fimbriation,eligible,Официальный сайт Президента описывает жёлтую звезду в верхнем углу и красную диагональную полосу с жёлтой каймой.,cd-presidency-flag,https://www.presidence.cd/detail-symbole/1,reviewed,2026-09-24,
costa-rica,costa-rica-national-flag,,national,false,official,blue_white_red_white_blue_horizontal_stripes,excluded,Статья 1 закона 10178/2022 описывает только пять цветных полос без отдельного графического символа.,cr-law-10178-2022,https://www.imprentanacional.go.cr/pub/2022/05/11/COMP_11_05_2022.html,sources_checked,2026-09-24,
costa-rica,costa-rica-state-flag,costa-rica-state-flag,state,true,official,blue_white_red_white_blue_horizontal_stripes|white_oval|national_coat_of_arms,eligible,Статьи 12–15 закона 10178/2022 отдельно устанавливают церемониальный pabellón nacional с государственным гербом в белом овале на красной полосе.,cr-law-10178-2022,https://www.imprentanacional.go.cr/pub/2022/05/11/COMP_11_05_2022.html,reviewed,2026-09-24,
croatia,croatia-national-flag,croatia-national-flag,national,true,official,red_white_blue_stripes|central_coat_of_arms|five_shield_crown,eligible,Статья 10 закона точно описывает герб в центре красно-бело-синего триколора.,hr-symbols-law-1990,https://narodne-novine.nn.hr/clanci/sluzbeni/1990_12_55_1067.html,reviewed,2026-09-24,
croatia,croatia-presidential-flag,,other_official,false,official,square_blue_field|red_white_chequered_border|central_historic_coat_of_arms|five_historic_medallions|rh_monogram,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,hr-symbols-law-1990,https://narodne-novine.nn.hr/clanci/sluzbeni/1990_12_55_1067.html,reviewed,2026-09-24,
croatia,croatia-civil-ensign-proportions,,civil_ensign,false,official,national_flag_design|ratio_1_to_1_5,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,hr-inland-navigation-law-2021|hr-symbols-law-1990,https://narodne-novine.nn.hr/clanci/sluzbeni/2021_12_144_2459.html|https://narodne-novine.nn.hr/clanci/sluzbeni/1990_12_55_1067.html,sources_checked,2026-09-24,
croatia,croatia-naval-ensign-candidate,,state_ensign,false,official,naval_stern_flag_artwork_to_verify,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,hr-naval-flags-decision-1999,https://narodne-novine.nn.hr/clanci/sluzbeni/1999_10_105_1754.html,sources_checked,2026-09-24,
croatia,croatia-naval-jack-candidate,,state_ensign,false,official,naval_bow_flag_artwork_to_verify,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,hr-naval-flags-decision-1999,https://narodne-novine.nn.hr/clanci/sluzbeni/1999_10_105_1754.html,sources_checked,2026-09-24,
cuba,cuba-national-flag,cuba-national-flag,national,true,official,three_blue_two_white_stripes|red_hoist_triangle|white_five_pointed_star,eligible,Статьи 5–7 закона 128/2019 точно описывают белую пятиконечную звезду в красном треугольнике у древка.,cu-symbols-law-128-2019,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2019-o71_0.pdf,reviewed,2026-09-24,
cuba,cuba-cespedes-historical-flag,,other_official,false,historical,red_white_blue_fields|white_star,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,cu-symbols-law-128-2019,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2019-o71_0.pdf,sources_checked,2026-09-24,
cuba,cuba-presidential-standard-candidate,,other_official,false,unverified,coat_of_arms|stars|blue_field_unverified,excluded,Вне нового каталога: публикуется только один национальный или государственный флаг страны.,cu-presidential-flag-commons-candidate|cu-symbols-law-128-2019,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2019-o71_0.pdf,sources_checked,2026-09-24,
